player,team,prop_type,projection,low,high,method,key_assumptions,sample_basis,notes
Amon-Ra St. Brown,DET,receptions,8.0,4,12,"11.7 exp targets x 67.9% catch rate; x1.103 garbage adj","Share stability verified.","2025 17g; full-game adj","MARKET (DraftKings via SI): 7.5 -> model 8.0: mild OVER lean. Garbage-time correction moved this from 6.5 to 8.0; the correction is measured (target ratio 1.103), not a fudge."
Jameson Williams,DET,receiving_yards,77,25,120,"6.9 exp targets x YPT 11.07; x1.133 garbage adj","Target share 17.27%; split-half 14.1%/17.5% (stable); catch 65.6%. Deep threat (12.6 aDOT): yardage volatile by construction -> wide band.","2025 17g; full-game adj","Explosive-play matchup neutral (BUF allows 13.9%)."
Jameson Williams,DET,receptions,4.6,2,7,"6.9 exp targets x 65.6% catch rate; x1.133 garbage adj","Share stable; boom/bust role.","2025 17g; full-game adj",""
Sam LaPorta,DET,receiving_yards,79,38,108,"7.3 exp targets x YPT 10.85; x1.195 garbage adj","When-active share 17.23% (41/238, 9 games); missed 8 games 2025. Wk1 2026: 8 targets CONFIRMS active role.","2025 9g active; Wk1 role check; full-game adj","Missed-games correction stated: share denominator = overlap games only."
Sam LaPorta,DET,receptions,6.2,4,8,"7.3 exp targets x 85.4% catch rate; x1.195 garbage adj","Active-role basis; n=9 -> band widened.","2025 9g active; full-game adj",""
Khalil Shakir,BUF,receiving_yards,41,16,70,"5.7 exp targets x YPT 7.16; x1.078 garbage adj","W1-2026 share 20.7% (6/29; n=1) ~= 2025 share 21.0% (90/428): consistent, used W1. Catch 74.4%.","2025 16g eff.; Wk1 share (n=1)","Slot role; Moore's arrival did not displace him in W1."
Khalil Shakir,BUF,receptions,4.2,2,7,"5.7 exp targets x 74.4% catch rate; x1.078 garbage adj","Share cross-validated 2025 vs Wk1.","2025 16g; full-game adj","Weaker than DET shares (n=1 on current roster); caveat stated."
Dalton Kincaid,BUF,receiving_yards,63,29,96,"5.5 exp targets x YPT 11.42; x1.042 garbage adj","W1-2026 share 20.7% (6/29; n=1) EXCEEDS 2025 active share 16.8%: used W1 (current roster). Wk1: 6 tgt / 5-130 confirms elevated role. Catch 77.1%.","2025 12g eff.; Wk1 share (n=1)","Role looks bigger than 2025; one game only -> wide band."
Dalton Kincaid,BUF,receptions,4.2,2,6,"5.5 exp targets x 77.1% catch rate; x1.042 garbage adj","Wk1 role basis.","2025 12g; full-game adj",""
DJ Moore,BUF,receiving_yards,60,25,95,"7.6 exp targets x 2025 CHI YPT 7.86; x1.076 garbage adj","W1-2026 BUF share 27.6% (8/29 team targets; n=1, noisy: SE ~8pp). Efficiency from 2025 CHI (17g: 79 tgt, 59.5% catch, 7.86 YPT). New team: chemistry/role unverified beyond one game.","2025 CHI 17g eff.; Wk1 BUF share (n=1)","Roster correction: traded from CHI; 2025 BUF shares are stale without him. Band reflects share noise."
DJ Moore,BUF,receptions,4.5,2,7,"7.6 exp targets x 59.5% catch rate (2025 CHI); x1.076 garbage adj","Same n=1 share caveat as yards.","2025 CHI 17g; Wk1 BUF (n=1)","Catch rate is his 2025 CHI figure; BUF fit unknown."
Jack Campbell,DET,tackles,9.4,6,13,"2025 per-game mean (144/17) x1.113 garbage adj; solo+assist pbp credits","Every-down LB; per-game sd 2.9. Branch (DET S, 64 tackles 2025) OUT -> possible redistribution bump, unmodeled.","2025 17g; full-game adj","Most stable defensive prop on the slate."
Alex Anzalone,DET,tackles,5.6,3,8,"2025 per-game mean (85/17) x1.113 garbage adj","Every-down LB; sd 2.45.","2025 17g; full-game adj",""
Cole Bishop,BUF,tackles,5.0,3,7,"2025 per-game mean (76/17) x1.112 garbage adj","BUF tackle leader 2025; sd 2.12.","2025 17g; full-game adj",""
David Montgomery,DET,rushing_yards,NULL,NULL,NULL,"VOID: plays for HOUSTON in 2026 (verified: 20 carries Wk1 vs 2026_01_BUF_HOU). Not a Detroit prop.","n/a","n/a","Roster correction 9/17: removed, not re-projected as DET."
David Montgomery,DET,receiving_yards,NULL,NULL,NULL,"VOID: on HOU 2026. See above.","n/a","n/a",""
Sion Vaki,DET,rushing_yards,NULL,NULL,NULL,"NULL: nominal RB2 by W1 usage (2 carries) but ZERO 2025 filtered touches and n=1 in 2026: no projectable role.","n/a","2025 17g + Wk1","Identified from play-by-play as Gibbs' current backup; role too thin to price."
longest_reception,ANY,NULL,NULL,NULL,"NULL: single-play extreme is pure noise; no data supports a point estimate.","n/a","n/a","Killed per brief: noise dressed as signal."
sacks_individual,ANY,NULL,NULL,NULL,"NULL: pressure generation is sticky but pressure-to-sack conversion is luck (R2<0.005, v2 methods literature). Hutchinson 11.5 sacks on 27 credited hits is real pressure, not a number to extrapolate into one game.","n/a","n/a","Deliberate null: literature applied as veto. (BUF had lowest pressure success in W1 per NextGen via D&C, but that is one game.)"
Matt Milano,BUF,tackles,NULL,NULL,NULL,"NULL: per-game sd 3.19 vs mean 3.76 (range 0-10) -> rotational/noisy; band wider than any market line.","n/a","2025 17g","Killed: noise, not signal."
Terrel Bernard,BUF,tackles,NULL,NULL,NULL,"NULL: per-game sd 2.58 vs mean 3.41; 11 tackles Wk1 2026 is n=1, not a new baseline.","n/a","2025 17g + Wk1 flag","Killed: cannot distinguish role change from noise."
