api,type,features,url,timestamp
points_bet,sportsbook,"['odds', 'props', 'live_betting']",https://www.pointsbet.com/,2026-09-18T07:49:44.555633
betrivers,sportsbook,"['odds', 'casino', 'poker']",https://www.betririvers.com/,2026-09-18T07:49:44.555681
barstool,sportsbook,"['odds', 'props', 'live_betting']",https://www.barstoolsportsbook.com/,2026-09-18T07:49:44.555725
fanduel_racing,racing,"['odds', 'results', 'profiles']",https://www.fanduel.com/racing,2026-09-18T07:49:44.555771
draftkings_racing,racing,"['odds', 'results', 'profiles']",https://www.draftkings.com/racing,2026-09-18T07:49:44.555819
betonline_racing,racing,"['odds', 'results', 'profiles']",https://www.betonline.ag/,2026-09-18T07:49:44.555868
iconic_racing,racing,"['odds', 'results', 'profiles']",https://www.iconicracing.com/,2026-09-18T07:49:44.555916
turf_trader,racing,"['odds', 'results', 'profiles']",https://www.turftrader.com/,2026-09-18T07:49:44.555959
timeform,racing,"['odds', 'results', 'profiles']",https://www.timeform.com/,2026-09-18T07:49:44.556026
racing_post,racing,"['odds', 'results', 'profiles']",https://www.racingpost.com/,2026-09-18T07:49:44.556077
at_the_races,racing,"['odds', 'results', 'profiles']",https://www.attheraces.com/,2026-09-18T07:49:44.556124
sky_sports_racing,racing,"['odds', 'results', 'profiles']",https://www.skysports.com/racing,2026-09-18T07:49:44.556169
espn_racing,racing,"['odds', 'results', 'profiles']",https://www.espn.com/horse-racing/,2026-09-18T07:49:44.556215
tboc,racing,"['odds', 'results', 'profiles']",https://www.tboc.com/,2026-09-18T07:49:44.556259
brisnet,racing,"['odds', 'results', 'profiles']",https://www.brisnet.com/,2026-09-18T07:49:44.556305
equibase,racing,"['odds', 'results', 'profiles']",https://www.equibase.com/,2026-09-18T07:49:44.556349
thoro_grad,racing,"['odds', 'results', 'profiles']",https://www.thorograd.com/,2026-09-18T07:49:44.556397
past_performance,racing,"['odds', 'results', 'profiles']",https://www.pastperformance.com/,2026-09-18T07:49:44.556449
