id,sheet_tier,sheet_score,title,in_coverage_json,has_deep_report_file,gemini_mention_count,gemini_named
2404.01909,Medium,10,A Temporal Graph Model to Study the Dynamics of Collective Behavior and Performance in Team Sports,Y,N,0,N
2401.16392,Medium,10,A comprehensive survey of the home advantage in American football,Y,N,0,N
2311.16564,Medium,10,Multi-agent statistical discriminative sub-trajectory mining and an application to NBA basketball,Y,N,0,N
2309.14390,Medium,10,Early Churn Prediction from Large Scale User-Product Interaction Time Series,Y,N,0,N
2308.01523,Medium,10,Miss It Like Messi: Extracting Value from Off-Target Shots in Soccer,Y,N,0,N
2307.16642,Medium,10,A Spectral Approach for the Dynamic Bradley-Terry Model,Y,N,0,N
2307.05825,Medium,10,Bayesian taut splines for estimating the number of modes,Y,N,0,N
2306.10560,Medium,10,Shannon Entropy and Herfindahl-Hirschman Index as Team's Performance and Competitive Balance Indicators in Cyclist Multi,Y,N,0,N
2306.01740,Medium,10,Not feeling the buzz: Correction study of mispricing and inefficiency in online sportsbooks,Y,N,0,N
2303.06021,Medium,10,Machine learning for sports betting: should model selection be based on accuracy or calibration?,Y,N,0,N
2302.11172,Medium,10,Impact of a Batter in ODI Cricket Implementing Regression Models from Match Commentary,Y,N,0,N
2212.10904,Medium,10,A Bayesian Mixture Model Approach to Expected Possession Values in Rugby League,Y,N,0,N
2212.00021,Medium,10,Location analysis of players in UEFA EURO 2020 and 2022 using generalized valuation of defense by estimating probabiliti,Y,N,0,N
2211.15622,Medium,10,ROC Analysis for Paired Comparison Data,Y,N,0,N
2211.02104,Medium,10,Pre-analysis protocol for an observational study on the effects of adolescent sports participation on health in early ad,Y,N,0,N
2206.13580,Medium,10,Ranking with multiple types of pairwise comparisons,Y,N,0,N
2206.12716,Medium,10,Missing data patterns in runners' careers: do they matter?,Y,N,0,N
2109.08051,Medium,10,Frame by frame completion probability of an NFL pass,Y,N,0,N
2108.11149,Medium,10,A Unified Taxonomy and Multimodal Dataset for Events in Invasion Games,Y,N,0,N
2104.14012,Medium,10,Simplified Kalman filter for online rating: one-fits-all approach,Y,N,0,N
2011.02122,Medium,10,Analysing Long Short Term Memory Models for Cricket Match Outcome Prediction,Y,N,0,N
2011.00432,Medium,10,Gamblers Learn from Experience,Y,N,0,N
2004.06857,Medium,10,A parsimonious family of multivariate Poisson-lognormal distributions for clustering multivariate count data,Y,N,0,N
2003.04787,Medium,10,Pursuing Sources of Heterogeneity in Modeling Clustered Population,Y,N,0,N
2002.04148,Medium,10,The role of intrinsic dimension in high-resolution player tracking data -- Insights in basketball,Y,N,0,N
1912.05129,Medium,10,Measuring Spatial Allocative Efficiency in Basketball,Y,N,0,N
1910.03400,Medium,10,"Inequalities, chance and success in sport competitions: simulations vs empirical data",Y,N,0,N
1908.00939,Medium,10,Functional Ratings in Sports,Y,N,0,N
1907.01615,Medium,10,E-Sports Talent Scouting Based on Multimodal Twitch Stream Data,Y,N,0,N
1903.07746,Medium,10,Pairwise Comparisons with Flexible Time-Dynamics,Y,N,0,N
1810.03383,Medium,10,Illusion of persistence in NBA 1995-2018 regular season data,Y,N,0,N
1803.02940,Medium,10,The Advantage of Doubling: Deep RL for the Double Team in the NBA,Y,N,0,N
1705.00885,Medium,10,Quantifying the relation between performance and success in soccer,Y,N,0,N
1201.0317,Medium,10,"Adjusted Plus-Minus for NHL Players using Ridge Regression with Goals, Shots, Fenwick, and Corsi",Y,N,0,N
2605.24445,Medium,9,Matrix concentration inequalities for time-inhomogeneous Markov chains,Y,N,0,N
2604.23392,Medium,9,SoccerRef-Agents: Multi-Agent System for Automated Soccer Refereeing,Y,N,0,N
2602.13152,Medium,9,Detecting Parameter Instabilities in Functional Concurrent Linear Regression,Y,N,0,N
2311.17077,Medium,9,Game-Theoretic Analysis of Adversarial Decision Making in a Complex Sociophysical System,Y,N,0,N
2308.08644,Medium,9,Generalized Bradley-Terry Models for Score Estimation from Paired Comparisons,Y,N,0,N
2408.10878,Medium,9,Trajectory Imputation in Multi-Agent Sports with Derivative-Accumulating Self-Ensemble,Y,N,0,N
2312.10942,Medium,9,ShuttleSHAP: A Turn-Based Feature Attribution Approach for Analyzing Forecasting Models in Badminton,Y,N,0,N
2608.14776,Medium,9,NRCD: An Open Database of Collegiate Running with Unified Performance Standardization,Y,N,0,N
2604.11786,Medium,9,GenTac: Generative Modeling and Forecasting of Soccer Tactics,Y,N,0,N
2602.19513,Medium,9,Real-time Win Probability and Latent Player Ability via STATS X in Team Sports,Y,N,0,N
2602.02979,Medium,9,CPMobius: Iterative Coach-Player Reasoning for Data-Free Reinforcement Learning,Y,N,0,N
2602.00133,Medium,9,PredictionMarketBench: A SWE-bench-Style Framework for Backtesting Trading Agents on Prediction Markets,Y,N,0,N
2510.00480,Medium,9,Expandable Decision-Making States for Multi-Agent Deep Reinforcement Learning in Soccer Tactical Analysis,Y,N,0,N
2509.25858,Medium,9,Aging Decline in Basketball Career Trend Prediction Based on Machine Learning and LSTM Model,Y,N,0,N
2509.11362,Medium,9,PersonaX: Multimodal Datasets with LLM-Inferred Behavior Traits,Y,N,0,N
2508.19542,Medium,9,CVBench: Benchmarking Cross-Video Synergies for Complex Multimodal Reasoning,Y,N,0,N
2508.09238,Medium,9,ELASTIC: Event-Tracking Data Synchronization in Soccer Without Annotated Event Locations,Y,N,0,N
2506.11399,Medium,9,Time-Varying Home Field Advantage in Football: Learning from a Non-Stationary Causal Process,Y,N,0,N
2505.24783,Medium,9,Paired comparison models with strength-dependent ties and order effects,Y,N,0,N
2503.19809,Medium,9,Simulating Tracking Data to Advance Sports Analytics Research,Y,N,0,N
2407.20085,Medium,9,Local Level Dynamic Random Partition Models for Changepoint Detection,Y,N,0,N
2407.01797,Medium,9,Empirical Determination of Baseball Eras: Multivariate Changepoint Analysis in Major League Baseball,Y,N,0,N
2311.01993,Medium,9,Active Exploration in Iterative Gaussian Process Regression for Uncertainty Modeling in Autonomous Racing,Y,N,0,N
2306.06147,Medium,9,SentiGOLD: A Large Bangla Gold Standard Multi-Domain Sentiment Analysis Dataset and its Evaluation,Y,N,0,N
2212.10935,Medium,9,Commentary Generation from Data Records of Multiplayer Strategy Esports Game,Y,N,0,N
2212.06301,Medium,9,Egocentric Video Task Translation,Y,N,0,N
2210.02383,Medium,9,Filling the Gaps: A Multiple Imputation Approach to Estimating Aging Curves in Baseball,Y,N,0,N
2208.00174,Medium,9,Bump hunting through density curvature features,Y,N,0,N
2206.09258,Medium,9,Machine Learning in Sports: A Case Study on Using Explainable Models for Predicting Outcomes of Volleyball Matches,Y,N,0,N
2203.08489,Medium,9,Bayesian Analysis of Formula One Race Results: Disentangling Driver Skill and Constructor Advantage,Y,N,0,N
2111.04085,Medium,9,Modelling and Optimisation of Resource Usage in an IoT Enabled Smart Campus,Y,N,0,N
2101.08175,Medium,9,Bayesian GARCH Modeling of Functional Sports Data,Y,N,0,N
2011.01698,Medium,9,A new robust class of skew elliptical distributions,Y,N,0,N
2010.11187,Medium,9,G-Elo: Generalization of the Elo algorithm by modelling the discretized margin of victory,Y,N,0,N
2006.14188,Medium,9,Identifying group contributions in NBA lineups with spectral analysis,Y,N,0,N
2006.11909,Medium,9,Two-Sample Testing on Ranked Preference Data and the Role of Modeling Assumptions,Y,N,0,N
2004.07209,Medium,9,Using Player's Body-Orientation to Model Pass Feasibility in Soccer,Y,N,0,N
2004.06630,Medium,9,Implementing multiple imputation for missing data in longitudinal studies when models are not feasible: A tutorial on th,Y,N,0,N
1911.08138,Medium,9,A regularized hidden Markov model for analyzing the 'hot shoe' in football,Y,N,0,N
1910.01863,Medium,9,Template-free Data-to-Text Generation of Finnish Sports News,Y,N,0,N
1910.00131,Medium,9,Fast and Fair Simultaneous Confidence Bands for Functional Parameters,Y,N,0,N
1909.10285,Medium,9,Robust Inference for Skewed data in Health Sciences,Y,N,0,N
1907.03043,Medium,9,Gaussian Processes for Analyzing Positioned Trajectories in Sports,Y,N,0,N
1907.01221,Medium,9,Visual analytics for team-based invasion sports with significant events and Markov reward process,Y,N,0,N
1906.04066,Medium,9,Stretching the Effectiveness of MLE from Accuracy to Bias for Pairwise Comparisons,Y,N,0,N
1906.03939,Medium,9,Time to Die: Death Prediction in Dota 2 using Deep Learning,Y,N,0,N
1901.04695,Medium,9,Statistical models for short and long term forecasts of snow depth,Y,N,0,N
1806.10412,Medium,9,Filtering Procedures for Sensor Data in Basketball,Y,N,0,N
1805.05009,Medium,9,Deep Decision Trees for Discriminative Dictionary Learning with Adversarial Multi-Agent Trajectories,Y,N,0,N
1710.06551,Medium,9,Exploiting oddsmaker bias to improve the prediction of NFL outcomes,Y,N,0,N
1705.04353,Medium,9,On the records,Y,N,0,N
1512.05652,Medium,9,Optimal Strategy in Basketball,Y,N,0,N
1511.06262,Medium,9,Seasonal Linear Predictivity in National Football Championships,Y,N,0,N
1206.6904,Medium,9,A network theory analysis of football strategies,Y,N,0,N
1111.0693,Medium,9,"Scoring Strategies for the Underdog: A general, quantitative method for determining optimal sports strategies",Y,N,0,N
math/0509698,Medium,9,A Derivation of the Pythagorean Won-Loss Formula in Baseball,Y,N,0,N
2607.23509,Medium,8,Topological Data Analysis and Graph-Theoretic Approaches for Tennis Match Prediction,Y,N,5,Y
2310.13719,Medium,8,Analysis of ELO Rating Scheme in MOBA Games,Y,N,0,N
2504.20859,Medium,8,X-Cross: Dynamic Integration of Language Models for Cross-Domain Sequential Recommendation,Y,N,0,N
2502.02785,Medium,8,OpenSTARLab: Open Approach for Spatio-Temporal Agent Data Analysis in Soccer,Y,N,0,N
2407.15987,Medium,8,AI for Handball: predicting and explaining the 2024 Olympic Games tournament with Deep Learning and Large Language Model,Y,N,0,N
2406.14877,Medium,8,Sports Intelligence: Assessing the Sports Understanding Capabilities of Language Models through Question Answering from ,Y,N,0,N
2405.02412,Medium,8,Deep Learning and Transfer Learning Architectures for English Premier League Player Performance Forecasting,Y,N,0,N
2403.08835,Medium,8,Stacking-based deep neural network for player scouting in football,Y,N,0,N
2311.04599,Medium,8,Explainable artificial intelligence model for identifying Market Value in Professional Soccer Players,Y,N,0,N
2607.06495,Medium,8,Pitwall: Faithful Natural-Language Race-Strategy Briefings from a Calibrated Real-Time Monte Carlo Engine,Y,N,3,Y
2606.17615,Medium,8,SkillMoV: Mixture-of-View Routing with Prototype-Conditioned Gating for Unified Multi-View Proficiency Estimation,Y,N,0,N
2602.00676,Medium,8,OpenGuanDan: A Large-Scale Imperfect Information Game Benchmark,Y,N,0,N
2603.22596,Medium,8,ParlayMarket: Automated Market Making for Parlay-style Joint Contracts,Y,N,0,N
2603.17866,Medium,8,NFL step-and-turn: A generative framework for evaluating player movement in American football,Y,N,0,N
